category,segments,duration_s,percent_segments,duration_h,percent_time
Quinan,13707,253043.65,72.79728079027032,70.28990277777778,82.16332485216401
YouTube,1599,2959.37,8.492219448722715,0.8220472222222222,0.9609080436033411
Juegos,971,5291.72,5.1569387646715175,1.4699222222222224,1.7182225651056382
Wikipedia,722,1514.65,3.834510595358224,0.42073611111111114,0.49180716444506795
Google,508,4185.48,2.697965903659249,1.1626333333333332,1.359026211099292
Google (Mat),427,4360.81,2.267778426894684,1.2113361111111112,1.4159558979194513
Screen Recorder,362,23488.75,1.9225662541823783,6.524652777777778,7.626801923783772
GeoGebra,272,2541.14,1.4445801688884168,0.7058722222222222,0.8251086771583798
Otro sitio,261,10590.83,1.3861596473524882,2.9418972222222224,3.4388446647210635
